Time;Step;File;Log;Visa;Plate
20170321_11:42:18;test_ink;gcode/20170321_11:42:18test_ink.gcode;gcode/20170321_11:42:18test_ink.gcode;;test
20170321_11:42:18;test_ink;gcode/20170321_11:42:18test_ink.gcode;gcode/20170321_11:42:18test_ink.gcode;;test
20170321_11:42:19;test_ink;gcode/20170321_11:42:19test_ink.gcode;gcode/20170321_11:42:19test_ink.gcode;;test
20170321_11:42:19;test_ink;gcode/20170321_11:42:19test_ink.gcode;gcode/20170321_11:42:19test_ink.gcode;;test
20170321_11:42:19;test_ink;gcode/20170321_11:42:19test_ink.gcode;gcode/20170321_11:42:19test_ink.gcode;;test
20170321_11:42:20;test_ink;gcode/20170321_11:42:20test_ink.gcode;gcode/20170321_11:42:20test_ink.gcode;;test
20170321_11:42:22;test_ink;gcode/20170321_11:42:22test_ink.gcode;gcode/20170321_11:42:22test_ink.gcode;;test
20170321_11:42:24;test_ink;gcode/20170321_11:42:24test_ink.gcode;gcode/20170321_11:42:24test_ink.gcode;;test
20170321_11:42:25;test_ink;gcode/20170321_11:42:25test_ink.gcode;gcode/20170321_11:42:25test_ink.gcode;;test
20170321_11:43:56;SA;gcode/20170321_11:43:56Method.gcode;gcode/20170321_11:43:56Method.gcode;;test
20170321_11:45:07;SA;Emergency stop; LOG;;preservative n1
20170321_11:45:10;SA;gcode/20170321_11:45:10Method.gcode;gcode/20170321_11:45:10Method.gcode;;preservative n1
20170321_11:46:16;SA;Emergency stop; LOG;;preservative n1
20170321_11:46:19;SA;gcode/20170321_11:46:19Method.gcode;gcode/20170321_11:46:19Method.gcode;;preservative n1
20170321_11:47:26;SA;Emergency stop; LOG;;preservative n1
20170321_11:47:29;SA;gcode/20170321_11:47:29Method.gcode;gcode/20170321_11:47:29Method.gcode;;preservative n1
20170321_11:48:38;SA;Emergency stop; LOG;;preservative n1
20170321_11:48:39;SA;gcode/20170321_11:48:39Method.gcode;gcode/20170321_11:48:39Method.gcode;;preservative n1
20170321_11:49:51;SA;Emergency stop; LOG;;preservative n1
20170321_11:49:52;SA;gcode/20170321_11:49:52Method.gcode;gcode/20170321_11:49:52Method.gcode;;preservative n1
20170321_11:51:03;SA;Emergency stop; LOG;;preservative n1
20170321_11:51:05;SA;gcode/20170321_11:51:05Method.gcode;gcode/20170321_11:51:05Method.gcode;;preservative n1
20170321_11:52:57;SA;Emergency stop; LOG;;preservative n1
20170321_11:53:04;SA;gcode/20170321_11:53:04Method.gcode;gcode/20170321_11:53:04Method.gcode;;preservative n1
20170321_11:54:16;SA;Emergency stop; LOG;;preservative n1
20170321_11:54:19;SA;gcode/20170321_11:54:19Method.gcode;gcode/20170321_11:54:19Method.gcode;;preservative n1
